X,Graphic Profile 1
0,-6.0154
0.498792873168,-5.98390000001
0.99758574494,-5.95480000001
1.4963786208,-5.9866
1.99517149347,-6.1554
2.49396436664,-6.39320000001
2.99275723931,-6.8492
3.49155011247,-7.3033
3.99034298589,-7.52800000001
4.48913585856,-7.52589999999
4.98792873173,-7.2408
5.4867216044,-6.8637
5.98551447886,-6.7735
6.48430735203,-6.9014
6.9831002247,-7.3838
7.48189309787,-6.9599
7.98068597054,-6.40459999999
8.4794788437,-6.3276
8.97827171637,-6.20510000001
9.47706458954,-6.247
9.97585746221,-6.1624
10.4746503372,-6.13250000001
10.9734432106,-6.0959
11.4722360833,-6.07249999999
11.9710289557,-6.11350000001
12.4698218291,-6.105
12.9686147018,-6.2162
13.4674075749,-6.1774
13.9662004476,-6.3219
14.4649933235,-6.4774
14.9637861961,-6.64969999999
15.4625790693,-6.8455
15.961371942,-6.997
16.4601648151,-7.04240000001
16.9589576878,-6.95359999999
17.457750561,-6.8055
17.9565434336,-6.5545
18.4553363071,-6.4188
18.9541291795,-6.3986
19.4529220529,-6.2974
19.9517149256,-6.19379999999
20.4505077987,-6.2108
20.9493006732,-6.2049
21.4480935464,-6.1995
21.946886419,-6.1018
22.4456792922,-6.0006
22.9444721649,-5.99589999999
23.443265038,-5.9945
23.9420579107,-5.93090000001
24.4408507839,-5.8792
24.9396436565,-5.94259999999
25.4384365318,-5.8697
25.9372294042,-5.906
26.4360222776,-6.05250000001
26.9348151503,-5.98239999999
27.4336080234,-5.921
27.9324008961,-5.97289999999
28.4311937693,-5.9902
28.9299866419,-6.0379
29.4287795151,-6.083
29.9275723905,-6.1583
30.4263652636,-6.23299999999
30.9251581363,-6.25599999999
31.4239510095,-6.2665
31.9227438821,-6.38649999999
32.4215367556,-6.4694
32.920329628,-6.90949999999
33.4191225014,-7.4909
33.9179153741,-8.0071
34.4167082472,-8.1283
34.9155011199,-7.54949999999
35.4142939931,-7.3652
35.9130868657,-7.2194
36.4118797389,-7.57859999999
36.9106726134,-8.32180000001
37.4094654865,-8.2858
37.9082583592,-7.6822
38.4070512324,-7.2648
38.9058441051,-6.9106
39.4046369785,-6.80530000001
39.9034298511,-6.7194
40.4022227243,-6.5303
40.9010155988,-6.3947
41.3998084719,-6.3348
41.8986013446,-6.2882
42.3973942178,-6.1928
42.8961870904,-6.10980000001
43.3949799636,-6.10649999999
43.8937728363,-6.077
44.3925657094,-6.0307
44.8913585821,-6.0151
45.390151458,-6.0024
45.8889443306,-5.9007
46.3877372041,-5.8952
46.8865300767,-5.9283
47.385322949,-5.88370000001
47.8841158217,-5.8989
48.3829086948,-5.8915
48.8817015675,-5.92449999999
49.3804944407,-5.7936
49.8792873133,-5.9004
50.3780801865,-5.8845
50.8768730592,-5.90919999999
51.3756659324,-5.9734
51.8744588077,-5.98579999999
52.3732516811,-6.0215
52.8720445536,-6.0346
53.370837427,-6.1229
53.8696302996,-6.2825
54.3684231728,-6.34570000001
54.8672160455,-6.41069999999
55.3660089186,-6.4635
55.8648017913,-6.5638
56.3635946663,-6.7571
56.8623875389,-7.144
57.3611804121,-7.53350000001
57.8599732848,-8.3714
58.358766158,-8.7179
58.8575590306,-8.80869999999
59.356351904,-8.8244
59.8551447765,-8.76949999999
60.3539376499,-8.82739999999
60.8527305243,-8.40459999999
61.3515233968,-8.9473
61.8503162702,-8.8659
62.3491091433,-7.8621
62.847902016,-7.63649999999
63.3466948892,-7.2179
63.8454877618,-7.12209999999
64.344280635,-6.9758
64.8430735077,-6.9017
65.3418663835,-6.8034
65.8406592562,-6.6594
66.3394521296,-6.5563
66.8382450021,-6.4325
67.3370378755,-6.2596
67.8358307481,-6.1369
68.3346236206,-6.1151
68.833416494,-6.0839
69.3322093671,-6.0518
69.8310022398,-6.02009999999
70.329795113,-5.9106
70.8285879857,-5.8208
71.3273808588,-5.856
71.8261737333,-5.81020000001
72.3249666065,-5.79489999999
72.8237594791,-5.78509999999
73.3225523525,-5.7574
73.821345225,-5.7298
74.3201380984,-5.7159
74.818930971,-5.8122
75.3177238435,-5.8472
75.8165167169,-5.90270000001
76.3153095918,-5.92290000001
76.8141024645,-5.9396
77.3128953377,-5.9938
77.8116882104,-5.9277
78.3104810835,-5.91250000001
78.8092739562,-5.94929999999
79.3080668294,-5.9454
79.806859702,-6.0573
80.3056525754,-6.10980000001
80.8044454506,-6.2203
81.303238324,-6.3959
81.8020311966,-6.5399
82.3008240693,-6.75260000001
82.7996169425,-6.8195
83.2984098156,-7.6666
83.7972026883,-8.7432
84.2959955615,-8.84020000001
84.7947884342,-8.4038
85.2935813073,-7.3894
85.7923741791,-7.9936
86.2911670523,-8.4604
86.7899599249,-8.7641
87.288752801,-8.7761
87.7875456737,-9.0432
88.2863385469,-9.0673
88.7851314195,-9.0316
89.2839242922,-8.11410000001
89.7827171654,-7.64
90.2815100381,-7.32180000001
90.7803029112,-7.205
91.2790957844,-7.15949999999
91.7778886589,-7.08289999999
92.276681532,-6.92750000001
92.7754744047,-6.7414
93.2742672779,-6.58900000001
93.7730601505,-6.55929999999
94.2718530239,-6.5292
94.7706458966,-6.4289
95.269438769,-6.32460000001
